Days,Values,Flags,Account
24,1100,M,VM
23,-16.19,GM,VM
16,13,F,VM
12,100,M,VM
11,900,M,VM
7,-100,OW,VM
1,-23.28,F,VM
28,0.05,I,NF
27,2155.19,N,NF
17,-449.93,LP,NF
12,2155.20,N,NF
30,10.15,I,C1S
30,0.43,I,C1S
30,-207,OW,C1S
28,-0.1,GM,C1S
27,-452.60,OW,C1S
25,85.14,GM,C1S
25,-4.88,GM,C1S
25,-55.66,U,C1S
24,248.55,GM,C1S
21,41.03,GM,C1S
20,143.61,GM,C1S
18,35.77,GM,C1S
17,30.68,GM,C1S
17,64.62,GM,C1S
11,-250,RT,C1S
06,-68.14,CR,C1S
05,45,F,C1S
03,-2200,R,C1S
26,-1.75,T,C1C
25,-78.90,T,C1C
24,5.56,I,C1C
12,-5,S,C1C
10,-15.49,S,C1C
08,4.95,I,C1C
08,-5,S,C1C
08,-531.24,GM,C1C
04,-113.88,GM,C1C
04,-28.69,GM,C1C
30,-28.14,F,AM
30,-85.11,F,AM
29,-10.26,F,AM
29,-24.28,F,AM
29,-18,GY,AM
29,-78.96,O,AM
28,-63.88,O,AM
28,-10.17,F,AM
28,-6.67,F,AM
28,-58.62,G,AM
27,-5,S,AM
26,-4.96,F,AM
26,-37.17,O,AM
26,-3.39,F,AM
26,-54.63,F,AM
25,20,S,AM
25,-25,F,AM
25,-9.93,F,AM
25,-2201.74,W,AM
25,-4.15,GM,AM
25,-3.75,GM,AM
25,-9.53,GM,AM
24,-45.95,F,AM
24,-2422.80,OW,AM
24,-30.19,S,AM
23,-4.80,T,AM
21,-8,F,AM
20,-2.88,F,AM
20,-4.96,F,AM
19,-32.55,F,AM
19,-30.39,F,AM
19,-18,GM,AM
18,-104.59,GM,AM
17,-5,SP,AM
17,-11.82,F,AM
16,-24.80,F,AM
16,-2.69,F,AM
16,-45.05,G,AM
16,-46.85,F,AM
15,-2.88,F,AM
14,-21.35,F,AM
14,-4.51,F,AM
14,-73.43,F,AM
14,-33.94,G,AM
14,-7.40,SP,AM
14,-4.96,F,AM
13,-2.88,F,AM
13,-4.96,F,AM
13,-38.06,F,AM
12,-8.05,F,AM
11,-35,GM,AM
11,-2.45,F,AM
11,-4.96,F,AM
10,-11,O,AM
10,-25,T,AM
08,-46.72,F,AM
07,-4.96,F,AM
07,-3.51,F,AM
06,-18,GM,AM
05,-48.73,F,AM
05,-17.77,F,AM
05,-4.05,F,AM
05,-3.92,F,AM
05,-589.96,O,AM
04,-14.94,F,AM
04,-79.11,GM,AM
04,-60,OW,AM
04,-25,GM,AM
04,-16.20,F,AM
04,-18.20,F,AM
04,-3.85,F,AM
04,-6.55,S,AM
03,-52.29,G,AM
03,-79.69,GI,AM
03,-2.45,F,AM
03,-28.33,F,AM
02,-4.86,F,AM
01,-32.96,F,AM
01,-64.20,F,AM
01,-111.55,F,AM
01,-52.18,SPT,AM
