Days,Values,Flags,Account
14,-796,R,VM
14,-746,R,VM
31,0.02,I,NF
30,2570.99,N,NF
15,20,CA,NF
11,2571.0,N,NF
31,2.92,I,C1S
31,0.11,I,C1S
31,-897.80,M,C1S
31,-23,M,C1S
29,-50.94,IN,C1S
28,-18,M,C1S
28,10,M,C1S
25,-57.72,U,C1S
24,-25,M,C1S
23,-963,M,C1S
22,134.22,M,C1S
21,1000,L,C1S
21,700,OW,C1S
21,-43.17,M,C1S
21,23.86,M,C1S
19,600,OW,C1S
18,-30.32,GM,C1S
18,101.44,SV,C1S
17,207.53,SV,C1S
16,900,OW,C1S
14,-250,RT,C1S
14,-123.92,M,C1S
14,-70,M,C1S
14,2.26,GM,C1S
13,3051.98,M,C1S
12,100,OW,C1S
12,300,OW,C1S
09,-12,M,C1S
08,-62.08,CR,C1S
07,-12.99,M,C1S
04,-2.99,M,C1S
03,-9.82,M,C1S
02,1.47,M,C1S
02,-1937.49,M,C1S
02,-100,M,C1S
01,-2200,R,C1S
31,-6.43,O,C1C
31,-20,O,C1C
31,-62.83,GM,C1C
30,-66.23,MI,C1C
29,-2.99,S,C1C
29,-54.46,G,C1C
29,-14.86,F,C1C
28,-170,GY,C1C
28,-5.08,F,C1C
28,-4.84,F,C1C
28,-90,GI,C1C
26,-12.99,F,C1C
26,-5.11,F,C1C
26,-3.10,S,C1C
25,-15.49,S,C1C
25,-123.12,F,C1C
23,4.65,IN,C1C
22,-12,O,C1C
22,-3.49,F,C1C
21,-15,GY,C1C
21,-15,F,C1C
19,-55.37,G,C1C
19,-10,GM,C1C
17,-189.16,F,C1C
16,-3.48,F,C1C
16,-20.01,F,C1C
15,13.73,IN,C1C
15,-22.95,T,C1C
15,-3.76,F,C1C
15,-3.74,F,C1C
15,-4.69,F,C1C
14,-7.63,F,C1C
14,-47.62,GM,C1C
14,-65.57,F,C1C
12,-5,S,C1C
12,-10.88,F,C1C
11,-12.95,F,C1C
11,-34,O,C1C
10,-8.96,F,C1C
09,-15.37,F,C1C
09,-25.95,T,C1C
08,-4.70,F,C1C
08,-2.13,F,C1C
08,-36.95,G,C1C
08,-19.80,F,C1C
07,-100.76,GI,C1C
07,-44.17,F,C1C
07,-25.40,F,C1C
03,-5.99,F,C1C
03,-4.12,F,C1C
03,-8.43,F,C1C
02,-4.70,F,C1C
02,-2.13,F,C1C
02,-50.99,GM,C1C
02,-61.07,G,C1C
02,-14.18,S,C1C
02,-7.40,F,C1C
01,-10.56,F,C1C
01,-116.22,CR,C1C
01,-24.90,F,C1C
31,-377.20,T,AM
31,-377.20,T,AM
30,-10.99,S,AM
30,4,S,AM
28,-127.37,TE,AM
28,-4,S,AM
27,-5,S,AM
23,-56.98,ME,AM
23,-1073.93,O,AM
23,-222.53,O,AM
20,-11.20,T,AM
16,-25,T,AM
16,-10.11,F,AM
16,-191.88,SP,AM
15,-182,T,AM
14,-9.22,F,AM
14,-55.82,G,AM
14,-131.10,T,AM
14,-25,T,AM
14,-40.01,G,AM
14,-49.05,G,AM
14,-4.45,F,AM
13,-53.83,G,AM
13,-94.69,GI,AM
13,-17.42,F,AM
13,-42.26,G,AM
13,-15.86,F,AM
13,-15.87,GM,AM
13,-44.79,SP,AM
12,-10.50,GM,AM
12,-57.03,G,AM
12,-39.99,PH,AM
12,-158.30,PH,AM
11,-169.95,GI,AM
07,-5,S,AM
07,4,S,AM
07,-265.95,GM,AM
05,-25,T,AM
04,-6.55,S,AM
02,-4,S,AM
