Date,Description,Amount
03/11/2024,Audible             audible.com         NJ,16.32
03/11/2024,NYTimes.COM NY TIMES(800)698-4637       NY,4.00
03/10/2024,SP PEAKDESIGN       SAN FRANCISCO       CA,114.66
03/07/2024,MPR - APM           800-228-7123        MN,5.00
03/06/2024,BUBBA'S 33 #2694 OLOPENSACOLA           FL,28.18
03/04/2024,BT*OURARING INC.    SAN FRANCISCO       CA,6.55
03/04/2024,HUEL                BROOKLYN            NY,123.37
02/29/2024,KINDLE UNLTD*RN2TF4C888-802-3080        WA,13.09
02/28/2024,PAR*CLEAN EATZ -  PEPENSACOLA           FL,17.71
02/27/2024,FRIENDS OF ARIZONA PTEMPE               AZ,5.00
02/24/2024,DELTA AIR LINES,5.60
02/22/2024,ONLINE PAYMENT - THANK YOU,-56.98
02/22/2024,UBER,5.04
02/21/2024,CLEAR               NEW YORK,-189.00
02/19/2024,CLEAR  *CLEARME.COM CLEARME.COM         NY,189.00
02/19/2024,FULLSCRIPT* R5427519MANCHESTER          NH,56.98
02/19/2024,MOBILE PAYMENT - THANK YOU,-2044.01
02/13/2024,AMAZON MARKEPLACE NA PA,6.44
02/13/2024,AMAZON MARKEPLACE NA PA,6.44
02/12/2024,NEW YORK TIMES DIGITNEW YORK,-4.00
02/12/2024,NYTimes.COM NY TIMES(800)698-4637       NY,4.00
02/11/2024,Audible             audible.com         NJ,16.32
02/07/2024,MPR - APM           800-228-7123        MN,5.00
02/04/2024,BT*OURARING INC.    SAN FRANCISCO       CA,6.55
02/02/2024,ACADEMY SPORTS      PENSACOLA           FL,21.49
02/02/2024,ALLA PRIMA COFFEE ROPensacola           FL,6.72
02/02/2024,FSP*FLEET FEET PENSAPENSACOLA           FL,4.52
02/02/2024,SP TRINITY GAMES LLCPENSACOLA           FL,30.00
02/01/2024,NEXCOM 6500000117879HUNT VALLEY         MD,2.25
02/01/2024,OLGYS FOOD TRUCK    Pensacola           FL,14.28
01/31/2024,RUNSIGNUP*SIGNUP *20MOORESTOWN          NJ,84.50
01/31/2024,TST* FOSKO COFFEE BAPENSACOLA           FL,15.05
01/30/2024,KINDLE UNLTD*R04VT8K888-802-3080        WA,13.09
01/30/2024,OLGYS FOOD TRUCK    Pensacola           FL,10.99
01/29/2024,NAVY EXCHANGE 060074PENSACOLA           FL,16.00
01/28/2024,JET PORT CAFE       PENSACOLA           FL,7.00
01/27/2024,CAMBRIDGEF* CAMBRIDGCAMBRIDGE           MA,102.19
01/27/2024,FRIENDS OF ARIZONA PTEMPE               AZ,5.00
01/26/2024,NEW HONG KONG HOUSE PENSACOLA           FL,16.66
01/26/2024,SP TRINITY GAMES LLCPENSACOLA           FL,55.00
01/25/2024,CARD KINGDOM        (206)523-2273       WA,1.74
01/25/2024,TST* FOSKO COFFEE BAPENSACOLA           FL,9.10
01/25/2024,TST* FOSKO COFFEE BAPENSACOLA           FL,13.47
01/23/2024,JET PORT CAFE       PENSACOLA           FL,6.05
01/23/2024,MURPHY EXPRESS 8557 PENSACOLA           FL,49.30
01/22/2024,MCGUIRES IRISH PUB  PENSACOLA           FL,21.39
01/21/2024,JET PORT CAFE       PENSACOLA           FL,6.05
01/19/2024,EL ASADOR 6905501102PENSACOLA           FL,14.19
01/19/2024,JET PORT CAFE       PENSACOLA           FL,4.35
01/18/2024,PENSACOLA NAS COMMISPENSACOLA           FL,139.02
01/17/2024,NEW YORK TIMES DIGITNEW YORK,-4.00
01/16/2024,TST* FOSKO COFFEE BAPENSACOLA           FL,32.47
01/15/2024,NYTimes.COM NY TIMES(800)698-4637       NY,4.00
01/15/2024,RESTAURANT IRON     PENSACOLA           FL,128.50
01/15/2024,TST* FOSKO COFFEE BAPENSACOLA           FL,4.90
01/14/2024,THE RUBY SLIPPER CAFPENSACOLA           FL,52.73
01/13/2024,BEEF BROZ JERKY     Pensacola           FL,14.30
01/13/2024,MIMI'S BISTRO ON THEPensacola           FL,10.75
01/13/2024,NAVY EXCHANGE 060070PENSACOLA           FL,23.75
01/13/2024,NAVY EXCHANGE 060070PENSACOLA           FL,93.00
01/13/2024,PENSACOLA NAS COMMISPENSACOLA           FL,1.80
01/13/2024,PENSACOLA NAS COMMISPENSACOLA           FL,8.69
01/13/2024,POLONZA BISTRO 54550PENSACOLA           FL,63.49
01/13/2024,TARA KEENER - COTTINPensacola           FL,5.00
01/12/2024,ONLINE PAYMENT - THANK YOU,-1879.66
01/12/2024,TST* CRAFT BAR - PENPENSACOLA           FL,95.74
01/12/2024,WAFFLE HOUSE 0158   GULF BREEZE         FL,20.50
01/10/2024,SP GEEKERY GAMES    FLAGSTAFF           AZ,159.97
01/09/2024,EMERALD COAST ESTATEPensacola           FL,19.34
01/09/2024,POPSHELF #23873 0000PENSACOLA           FL,11.60
01/08/2024,A FLOWER SHOP 650000PENSACOLA           FL,67.73
01/08/2024,PENSACOLA NAS COMMISPENSACOLA           FL,41.96
01/08/2024,SHELL SERVICE STATIOPENSACOLA           FL,46.34
01/08/2024,TAQUERIA EMMANUEL   PENSACOLA           FL,9.00
01/07/2024,FANNIE LOU'S ICE CREPensacola           FL,13.71
01/07/2024,MPR - APM           800-228-7123        MN,5.00
01/04/2024,BT*OURARING INC.    SAN FRANCISCO       CA,6.55
01/03/2024,EMERALD COAST ESTATEPensacola           FL,206.34
01/01/2024,UBER,5.75
