Date (YYYYMMDD), Value($), Balance (0) or Transaction(1)
20221014, 0, 1
20221125, -200.0, 1
20221125, 4493.15, 0
20221226, -4544.74, 1
20221226, 10978.0, 0
20230126, -10978.0, 1
20230126, 2898.56, 0
20230223, -2898.76, 1
20230223, 5111.36, 0
20230326, -5111.36, 1
20230326, 8638.82, 0
20230425, -8638.82, 1
20230425, 7187.46, 0
20230526, -7207.46, 1
20230526, 6123.26, 0
20230625, -6143.26, 1
20230625, 2935.32, 0
20230726, -4322.11, 1
20230726, 4130.23, 0
20230825, -4134.23, 1
20230825, 3588.51, 0
20230925, -3608.83, 1
20230925, 1744.87, 0
20231026, -1752.55, 1
20231026, 1501.82, 0
20231124, -2091.2, 1
20231124, 2819.67, 0
20231226, -2868.67, 1
20231226, 1879.66, 0
20240126, -1883.66, 1
20240126, 1596.78, 0
20240223, -2293.99, 1
20240229, 5.04, 0
