Date (YYYYMMDD),Value($),Balance (0) or Transaction(1)
20220924,-25.36,1
20221001,-138.1,1
20221006,-1218.01,1
20221007,209.43,0
20221027,-10.8,1
20221101,-209.43,1
20221102,-35.51,1
20221106,2471.64,0
20221116,-9.22,1
20221201,-2471.64,1
20221207,575.26,0
20230102,-575.26,1
20230107,377.73,0
20230125,-15.96,1
20230201,-377.73,1
20230204,937.31,0
20230206,-937.31,1
20230301,-269.1,1
20230307,40.62,0
20230316,-4.3,1
20230401,-40.62,1
20230406,427.58,0
20230408,-4.95,1
20230422,-5.56,1
20230501,-427.58,1
20230507,643.23,0
20230601,-643.23,1
20230606,467.29,0
20230629,-13.4,1
20230701,-467.29,1
20230707,609.59,0
20230801,-609.59,1
20230807,733.35,0
20230815,-13.73,1
20230823,-4.65,1
20230901,-733.35,1
20230901,-733.35,1
20230901,-5.82,1
20230906,1664.4,0
20230908,-8.87,1
20230916,-6.86,1
20230923,-5.6,1
20230929,-1664.4,1
20231007,1918.79,0
20231009,-11.82,1
20231025,-9.68,1
20231101,-1918.79,1
20231106,1770.26,0
20231106,-6.76,1
20231120,-11.44,1
20231121,-6.22,1
20231129,-219.92,1
20231201,-1770.26,1
20231201,-7.2,1
20231207,1603.4,0
20231209,-7.63,1
20231212,-6.45,1
20240102,-1603.4,1
20240102,-21.23,1
20240105,-8.99,1
20240105,-6.62,1
20240107,2703.88,0
20240108,-12.91,1
20240201,-2703.88,1
20240205,507.17,0
20240221,619.46,0
20240301,810.64,0
