Date (YYYYMMDD), Description, Category, Value($), Balance (0) or Adjustment (1)
20220324, Withdrawal from VENMO PAYMENT, Debit, -236.38, 1
20220324, Withdrawal from VENMO PAYMENT, Debit, 429.28, 0
20220324, Deposit from VENMO CASHOUT, Credit, 4.44, 1
20220324, Deposit from VENMO CASHOUT, Credit, 665.66, 0
20220328, Withdrawal from VENMO PAYMENT, Debit, -200.0, 1
20220328, Withdrawal from VENMO PAYMENT, Debit, 229.28, 0
20220329, Deposit from HARVARD UNIVERSI DIR DEP, Credit, 3770.98, 1
20220329, Deposit from HARVARD UNIVERSI DIR DEP, Credit, 4005.06, 0
20220329, Deposit from eBay PAYOUT, Credit, 4.8, 1
20220329, Deposit from eBay PAYOUT, Credit, 234.08, 0
20220330, Deposit from GUSTO PAYROLL CON 632069, Credit, 70.0, 1
20220330, Deposit from GUSTO PAYROLL CON 632069, Credit, 4077.77, 0
20220330, Deposit from eBay PAYOUT, Credit, 2.71, 1
20220330, Deposit from eBay PAYOUT, Credit, 4007.77, 0
20220331, Monthly Interest Paid, Credit, 0.1, 1
20220331, Monthly Interest Paid, Credit, 4069.87, 0
20220331, Withdrawal from VENMO PAYMENT, Debit, -8.0, 1
20220331, Withdrawal from VENMO PAYMENT, Debit, 4069.77, 0
20220401, Withdrawal from CAPITAL ONE CRCARDPMT, Debit, -1831.3, 1
20220401, Withdrawal from CAPITAL ONE CRCARDPMT, Debit, 2238.57, 0
20220404, Withdrawal from VENMO PAYMENT, Debit, -1000.0, 1
20220404, Withdrawal from VENMO PAYMENT, Debit, 1288.6, 0
20220404, Withdrawal from VANGUARD BUY INVESTMENT, Debit, -200.71, 1
20220404, Withdrawal from VANGUARD BUY INVESTMENT, Debit, 2288.6, 0
20220404, Deposit from VENMO CASHOUT, Credit, 250.74, 1
20220404, Deposit from VENMO CASHOUT, Credit, 2489.31, 0
20220405, Withdrawal from 31 LINDEN PLACE ACH, Debit, -825.0, 1
20220405, Withdrawal from 31 LINDEN PLACE ACH, Debit, 915.83, 0
20220405, Deposit from HARVARD UNIVERSI DIR DEP, Credit, 815.0, 1
20220405, Deposit from HARVARD UNIVERSI DIR DEP, Credit, 1740.83, 0
20220405, Withdrawal from EVERSOURCE WEB_PAY, Debit, -111.8, 1
20220405, Withdrawal from EVERSOURCE WEB_PAY, Debit, 925.83, 0
20220405, Withdrawal from EVERSOURCE WEB_PAY, Debit, -250.97, 1
20220405, Withdrawal from EVERSOURCE WEB_PAY, Debit, 1037.63, 0
20220406, Withdrawal from USAA P&C AUTOPAY, Debit, -91.25, 1
20220406, Withdrawal from USAA P&C AUTOPAY, Debit, 824.58, 0
20220407, Deposit from VENMO CASHOUT, Credit, 156.37, 1
20220407, Deposit from VENMO CASHOUT, Credit, 980.95, 0
20220408, Deposit from eBay PAYOUT, Credit, 7.93, 1
20220408, Deposit from eBay PAYOUT, Credit, 988.88, 0
20220411, Deposit from eBay PAYOUT, Credit, 7.15, 1
20220411, Deposit from eBay PAYOUT, Credit, 980.54, 0
20220411, Digital Card Purchase - NETFLIX COM NETFLIX COM CA, Debit, -15.49, 1
20220411, Digital Card Purchase - NETFLIX COM NETFLIX COM CA, Debit, 973.39, 0
20220412, Withdrawal from CAPITAL ONE MOBILE PMT, Debit, -200.0, 1
20220412, Withdrawal from CAPITAL ONE MOBILE PMT, Debit, 796.7, 0
