Date (YYYYMMDD), Description, Category, Value($), Balance (0) or Adjustment (1)
20221223, Deposit from Checking XXXXX4369, Credit, 100.0, 1
20221223, Deposit from Checking XXXXX4369, Credit, 100.0, 0
20221227, Withdrawal to Checking XXXXX4369, Debit, -5000.0, 1
20221227, Withdrawal to Checking XXXXX4369, Debit, 100.0, 0
20221227, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 5000.0, 1
20221227, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 5100.0, 0
20221228, Deposit from Checking XXXXX4369, Credit, 4600.0, 1
20221228, Deposit from Checking XXXXX4369, Credit, 9700.0, 0
20221228, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 5000.0, 1
20221228, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 5100.0, 0
20221231, Monthly Interest Paid, Credit, 3.5, 1
20221231, Monthly Interest Paid, Credit, 9703.5, 0
20230103, Withdrawal to Checking XXXXX4369, Debit, -11000.0, 1
20230103, Withdrawal to Checking XXXXX4369, Debit, 3703.5, 0
20230103, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 5000.0, 1
20230103, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 14703.5, 0
20230104, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 5000.0, 1
20230104, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 8703.5, 0
20230110, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 5000.0, 1
20230110, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 13703.5, 0
20230116, Withdrawal to Checking XXXXX4369, Debit, -100.0, 1
20230116, Withdrawal to Checking XXXXX4369, Debit, 13603.5, 0
20230118, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 2000.0, 1
20230118, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 15603.5, 0
20230125, Withdrawal to Checking XXXXX4369, Debit, -300.0, 1
20230125, Withdrawal to Checking XXXXX4369, Debit, 15303.5, 0
20230130, Withdrawal to Checking XXXXX4369, Debit, -400.0, 1
20230130, Withdrawal to Checking XXXXX4369, Debit, 14903.5, 0
20230131, Monthly Interest Paid, Credit, 35.65, 1
20230131, Monthly Interest Paid, Credit, 14939.15, 0
20230203, Withdrawal to Checking XXXXX4369, Debit, -300.0, 1
20230203, Withdrawal to Checking XXXXX4369, Debit, 14639.15, 0
20230206, Withdrawal to Checking XXXXX4369, Debit, -500.0, 1
20230206, Withdrawal to Checking XXXXX4369, Debit, 14139.15, 0
20230209, Withdrawal to Checking XXXXX4369, Debit, -3000.0, 1
20230209, Withdrawal to Checking XXXXX4369, Debit, 10139.15, 0
20230209, Withdrawal to Checking XXXXX4369, Debit, -1000.0, 1
20230209, Withdrawal to Checking XXXXX4369, Debit, 13139.15, 0
20230213, Deposit from Checking XXXXX4369, Credit, 1000.0, 1
20230213, Deposit from Checking XXXXX4369, Credit, 11139.15, 0
20230214, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 2500.0, 1
20230214, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 13639.15, 0
20230222, Withdrawal to Checking XXXXX4369, Debit, -2201.23, 1
20230222, Withdrawal to Checking XXXXX4369, Debit, 11568.42, 0
20230222, Withdrawal to Checking XXXXX4369, Debit, -1908.5, 1
20230222, Withdrawal to Checking XXXXX4369, Debit, 13769.65, 0
20230222, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 2039.0, 1
20230222, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 15678.15, 0
20230223, Deposit from Checking XXXXX4369, Credit, 1200.0, 1
20230223, Deposit from Checking XXXXX4369, Credit, 12768.42, 0
20230228, Monthly Interest Paid, Credit, 33.07, 1
20230228, Monthly Interest Paid, Credit, 12801.49, 0
20230305, Withdrawal to Checking XXXXX4369, Debit, -3500.0, 1
20230305, Withdrawal to Checking XXXXX4369, Debit, 9301.49, 0
20230307, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 1750.0, 1
20230307, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 11051.49, 0
20230310, Withdrawal to Checking XXXXX4369, Debit, -300.0, 1
20230310, Withdrawal to Checking XXXXX4369, Debit, 8551.49, 0
20230310, Withdrawal to Checking XXXXX4369, Debit, -2200.0, 1
20230310, Withdrawal to Checking XXXXX4369, Debit, 8851.49, 0
20230325, Withdrawal to Checking XXXXX4369, Debit, -2200.0, 1
20230325, Withdrawal to Checking XXXXX4369, Debit, 6351.49, 0
20230328, Withdrawal to Checking XXXXX4369, Debit, -1000.0, 1
20230328, Withdrawal to Checking XXXXX4369, Debit, 7468.68, 0
20230328, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 2117.19, 1
20230328, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 8468.68, 0
20230331, Monthly Interest Paid, Credit, 25.7, 1
20230331, Monthly Interest Paid, Credit, 7494.38, 0
20230401, Withdrawal to Checking XXXXX4369, Debit, -2000.0, 1
20230401, Withdrawal to Checking XXXXX4369, Debit, 5494.38, 0
20230404, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 1700.0, 1
20230404, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 7194.38, 0
20230405, Withdrawal to Checking XXXXX4369, Debit, -5000.0, 1
20230405, Withdrawal to Checking XXXXX4369, Debit, 2194.38, 0
20230418, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 2100.0, 1
20230418, Deposit from NFCU ACH P2P SASHA R BROWNSB, Credit, 4294.38, 0
