Date (YYYYMMDD), Description, Category, Value($), Balance (0) or Adjustment (1)
20240203, THE WINE CASK, Food & Drink, -46.99, 1
20240203, EL ASADOR, Food & Drink, -16.56, 1
20240203, SHELL OIL13043568016, Gas, -51.5, 1
20240203, WHOLEFDS SMV #10511, Groceries, -26.5, 1
20240204, THE DROWSY POET AT NAVY, Food & Drink, -6.37, 1
20240204, BARCELONA CAMBRIDGE, Food & Drink, -26.2, 1
20240204, TBS COMICS, Shopping, -35.0, 1
20240205, SQ *BLUE BOTTLE COFFEE, Food & Drink, -6.15, 1
20240205, TST* FOUR WINDS, Groceries, -24.9, 1
20240205, TST* FOUR WINDS, Groceries, -5.33, 1
20240207, DD DOORDASH FUKIJAPAN, Food & Drink, -65.32, 1
20240208, SONNY'S BBQ #157, Food & Drink, -19.01, 1
20240208, EVERMAN COOP GROCERY, Groceries, -79.36, 1
20240208, WHOLEFDS SMV #10511, Groceries, -17.85, 1
20240208, WHOLEFDS SMV #10511, Groceries, -32.28, 1
20240209, CARDKINGDOM.COM, Shopping, -161.94, 1
20240209, TST* THE RUBY SLIPPER CAF, Food & Drink, -23.07, 1
20240209, SQ *MI SU STREET FOOD, Food & Drink, -12.48, 1
20240210, SP TRINITY GAMES LLC, Entertainment, -20.0, 1
20240210, CENTRE ST AUTOMOTIVE, Gas, -40.0, 1
20240210, TST* ROSLINDALE WORK CAFE, Food & Drink, -9.38, 1
20240210, THE THRIFT SHOP, Shopping, -6.88, 1
20240211, DD DOORDASH DOUBLECHI, Food & Drink, -76.92, 1
20240211, SQ *OH HONEY MACARON, Food & Drink, -58.0, 1
20240211, TRAVEL CREDIT $300/YEAR, Fees & Adjustments, 26.4, 1
20240211, LYFT   *RIDE SAT 12PM, Travel, -26.4, 1
20240211, TRAVEL CREDIT $300/YEAR, Fees & Adjustments, 20.84, 1
20240211, LYFT   *RIDE SAT 9AM, Travel, -20.84, 1
20240212, 5 SISTERS BLUES CAFE, Food & Drink, -16.14, 1
20240212, TST* FOSKO COFFEE BARRE, Food & Drink, -16.05, 1
20240214, MURPHY6750ATWALMART, Gas, -50.53, 1
20240214, ARBYS 6559, Food & Drink, -11.97, 1
20240214, SQ *GAMEMASTERS GUILD, Shopping, -8.0, 1
20240214, SQ *NASC MWR, Health & Wellness, -5.0, 1
20240214, BEN'S CARD WORLD, Shopping, -47.57, 1
20240214, SP OXANDPINE, Shopping, -81.0, 1
20240214, TBS COMICS, Shopping, -123.63, 1
20240214, TRAVEL CREDIT $300/YEAR, Fees & Adjustments, 14.73, 1
20240214, LYFT   *RIDE MON 5PM, Travel, -14.73, 1
20240214, TRAVEL CREDIT $300/YEAR, Fees & Adjustments, 37.41, 1
20240214, LYFT   *RIDE TUE 4AM, Travel, -37.41, 1
20240215, STANFORD AOERC, Education, -18.0, 1
20240215, SQ *PALAFOX COMPUTERS, Shopping, -122.96, 1
20240215, TRAVEL CREDIT $300/YEAR, Fees & Adjustments, 28.89, 1
20240215, LYFT   *RIDE WED 4PM, Travel, -28.89, 1
20240216, LABYRINTH GAMES ONLINE, Shopping, -575.98, 1
20240216, 49 MILE MARKET ST2031, Shopping, -16.34, 1
20240216, EL ASADOR, Food & Drink, -18.28, 1
20240216, WAKO JAPANESE CUISINE, Food & Drink, -27.45, 1
20240216, OFFICE DEPOT #202, Shopping, -0.17, 1
20240216, ALPHA BETA UNLIMITED, Shopping, -23.1, 1
20240217, EVERMAN COOP GROCERY, Groceries, -62.79, 1
20240217, SQ *PALAFOX COMPUTERS, Shopping, -10.75, 1
20240217, EMILYBARRETTPHOTO, Shopping, -302.5, 1
20240218, SEPHORA PENSACOLA, Shopping, -62.36, 1
20240218, H&amp;M0613, Shopping, -26.86, 1
20240218, BEST BUY      00003954, Shopping, -108.49, 1
20240218, TST* FOSKO COFFEE BARRE, Food & Drink, -31.1, 1
20240219, RESTAURANT IRON, Food & Drink, -146.4, 1
20240219, SIDELINES, Food & Drink, -41.01, 1
20240220, EINSTEIN BROS BAGELS POST, Food & Drink, -3.76, 1
20240220, TRAVEL CREDIT $300/YEAR, Fees & Adjustments, 2.0, 1
20240220, SEATBID SPIRIT AIRLINES, Travel, -2.0, 1
