Days,Values,Flags,Account
31,-475,R,VM
27,-3000,M,VM
17,-1500,M,VM
16,450,M,VM
10,4.28,T,VM
10,4.29,T,VM
3,-200,M,VM
1,4.29,T,VM
30,0.09,I,NF
27,25000,L,NF
31,-10.99,S,C1C
30,-20.23,S,C1C
26,-25,T,C1C
26,-0.99,S,C1C
23,-8.67,F,C1C
20,-16.90,F,C1C
20,-14.99,S,C1C
20,-33,T,C1C
16,-3.50,F,C1C
16,-59.84,F,C1C
15,-8.06,F,C1C
14,-5,S,C1C
13,-22.50,GI,C1C
12,-5,F,C1C
12,-10,F,C1C
12,-33,F,C1C
12,-5,F,C1C
12,-30,F,C1C
10,-15.49,S,C1C
8,-5,S,C1C
8,-4.22,F,C1C
7,-11.34,F,C1C
5,-115.60,GY,C1C
5,-4.22,F,C1C
5,-99.69,GI,C1C
5,-36.52,GM,C1C
3,-2,T,C1C
3,-13.84,F,C1C
3,-4.22,F,C1C
2,-4.22,F,C1C
2,8.55,S,C1C
31,0.37,I,C1S
30,13.89,GM,C1S
29,178.50,CMC,C1S
28,194.16,N,C1S
28,2021.83,N,C1S
22,-2200,R,C1S
20,-2200,R,C1S
20,-5,M,C1S
19,21.53,GM,C1S
13,38.80,GM,C1S
13,2021.86,N,C1S
6,-68.09,U,C1S
31,-0.76,S,AM
30,-19.30,F,AM
30,-38.56,G,AM
30,-64.07,G,AM
30,-145.16,F,AM
29,-78,O,AM
29,-90.57,GI,AM
29,-66.66,F,AM
29,-100.05,F,AM
28,-11.64,F,AM
28,-13.74,F,AM
27,-5,S,AM
27,-15,F,AM
27,-9.51,F,AM
26,-10.51,F,AM
25,-10.68,F,AM
25,-274,O,AM
25,-32.28,F,AM
24,-7.22,F,AM
24,-50,GM,AM
24,-16.10,F,AM
24,-2.16,S,AM
24,-157.22,O,AM
23,-56.08,G,AM
22,-332.36,GI,AM
22,-3.50,F,AM
22,-14.70,MI,AM
22,-54.59,GI,AM
21,-75.18,F,AM
20,-29.35,F,AM
20,-4,F,AM
20,-5.29,F,AM
20,-5.76,GM,AM
20,-10,MI,AM
18,-5.98,F,AM
18,-4.12,T,AM
18,-38.39,T,AM
18,-43.70,T,AM
18,-11.76,F,AM
17,-47.01,G,AM
17,-100,F,AM
16,-14.28,F,AM
16,-1522.04,W,AM
16,-32.40,T,AM
15,-11.23,F,AM
15,-63.29,GI,AM
15,21.83,T,AM
15,-9.37,O,AM
15,-13.86,O,AM
14,-15.62,F,AM
14,-46.73,G,AM
14,-49.17,G,AM
13,-9.94,F,AM
13,-19.11,F,AM
12,-331.60,T,AM
12,-133.60,T,AM
12,-9.01,F,AM
11,-60.96,G,AM
11,-27.84,F,AM
11,-5.25,F,AM
11,-9.56,F,AM
10,-8.10,F,AM
10,-12.80,O,AM
9,-2.95,F,AM
9,-13.01,F,AM
9,-72.69,F,AM
9,-70.25,G,AM
8,-5.60,T,AM
8,-3.50,F,AM
8,-16.88,G,AM
8,-27,MI,AM
8,-12.53,F,AM
7,-3261.52,W,AM
7,-5.74,F,AM
7,-6,T,AM
7,-10,F,AM
6,-30.34,G,AM
6,-18.26,F,AM
5,-82.19,G,AM
5,-13.01,F,AM
4,-6.55,S,AM
4,-25,GM,AM
4,-31.54,MI,AM
4,-8.72,O,AM
4,-59.85,MI,AM
4,-17.09,F,AM
3,-16.83,F,AM
3,-13.01,F,AM
3,-3.99,F,AM
3,-59.63,G,AM
3,-35.46,F,AM
1,-10.43,F,AM
1,-18.01,F,AM
1,-11.11,F,AM
