Days,Values,Flags,Account
22,1100,M,VM
22,28,F,VM
22,70,F,VM
14,15,O,VM
14,35,O,VM
8,-10,F,VM
6,-75,O,VM
4,10,F,VM
28,0.08,I,NF
27,2158.19,N,NF
21,449.93,LR,NF
21,2158.20,N,NF
10,625.74,N,NF
27,-17.99,S,C1C
25,-0.99,S,C1C
24,-9.45,O,C1C
20,-14.99,S,C1C
17,-5,S,C1C
13,-30.99,F,C1C
13,-158.21,GM,C1C
10,-15.49,S,C1C
9,-10.99,S,C1C
8,-5,S,C1C
4,-14.88,S,C1C
3,-25,S,C1C
28,0.12,I,C1S
24,-4.24,GM,C1S
24,8.16,GM,C1S
22,-1908.50,OW,C1S
14,-2.15,GM,C1S
14,-2.80,GM,C1S
14,-4.15,GM,C1S
14,16.03,GM,C1S
14,14.01,GM,C1S
10,0.21,GM,C1S
9,43.85,GM,C1S
8,16.64,GM,C1S
7,-68.14,CR,C1S
6,-18.28,GM,C1S
6,-1.99,GM,C1S
28,-54.19,OW,AM
27,-5,S,AM
27,-16.77,F,AM
27,-19.30,F,AM
26,-4.86,F,AM
26,-15.93,F,AM
26,-16.88,F,AM
25,-2201.73,W,AM
25,-25,GM,AM
24,-19.40,S,AM
24,-7.50,GM,AM
22,-191.74,O,AM
22,-21,O,AM
21,-20.80,F,AM
20,-12.70,O,AM
20,-29.80,O,AM
20,-139.96,F,AM
20,-58.20,F,AM
19,-48.82,G,AM
19,-25,IN,AM
19,-8.88,O,AM
19,-61.21,O,AM
19,-6.66,O,AM
19,-4.50,F,AM
18,-26.56,O,AM
18,-20.19,O,AM
18,-259.66,O,v
18,-16,F,AM
18,-14.28,O,AM
18,-15.91,O,AM
17,-234.53,O,AM
17,-12.84,F,AM
16,-3.85,F,AM
16,-27.77,F,AM
15,-8.56,GM,AM
15,-50.87,G,AM
13,-27.96,GY,AM
13,-57.04,GI,AM
13,-43,GM,AM
13,-15.83,MI,AM
12,-5.50,F,AM
11,-30.13,G,v
11,-4.28,F,AM
11,-18,GY,AM
10,-16.54,F,AM
10,-19.99,OW,AM
10,-122.38,F,AM
10,-210,GM,AM
10,-20,GM,AM
9,-53.39,G,AM
9,-121.47,GI,AM
9,-12.13,F,AM
9,-34,GM,AM
8,-3.75,GM,AM
8,-4.13,GM,AM
7,-26.23,O,AM
7,-12.85,F,AM
7,-32.25,GM,AM
6,-3.84,F,AM
6,-7,GM,AM
6,-15.35,F,AM
5,-30,GM,AM
5,-6.92,T,AM
4,-3.23,F,AM
4,-6.55,S,AM
4,-5.81,GM,AM
4,-30,GM,AM
4,-15.91,F,AM
3,-148.69,GI,AM
2,-5.60,T,AM
2,-90.08,GY,AM
