Days,Values,Flags,Account
30,-400,M,VM
15,97.14,T,VM
3,-120.88,T,VM
3,5.84,T,VM
1,97.14,T,VM
1,4.29,T,VM
30,0.1,I,NF
30,2115.22,N,NF
11,2115.23,N,NF
27,-0.99,S,C1C
25,15.96,I,C1C
23,-2.87,F,C1C
23,-2.67,F,C1C
20,-48.38,O,C1C
20,-14.99,S,C1C
17,-134.38,GM,C1C
16,-20.26,F,C1C
16,-2.94,F,C1C
16,-49.92,GM,C1C
14,-21.83,F,C1C
12,-199,GY,C1C
12,-5,S,C1C
10,-11.94,F,C1C
10,-15.49,S,C1C
9,-5,S,C1C
7,-4.22,S,C1C
7,-1,O,C1C
6,-3.37,F,C1C
6,-4.22,F,C1C
3,-7.91,GM,C1C
3,-3,F,C1C
2,-11.91,S,C1C
31,0.44,I,C1S
31,14.50,GM,C1S
30,-4.2,GM,C1S
24,19.53,GM,C1S
13,18.07,GM,C1S
6,-45.96,CR,C1S
4,-61.92,G,C1S
31,-8,F,AM
31,-20.64,F,AM
31,-10.80,T,AM
30,-4.28,F,AM
30,-18,GY,AM
30,-8.49,F,AM
30,-42.07,G,AM
29,-134.19,F,AM
29,-29.87,MI,AM
29,-22.54,F,AM
28,-3.01,GM,AM
27,-2201.73,W,AM
27,-8.36,F,AM
27,-5,S,AM
27,-6,GM,AM
27,-8.06,GM,AM
26,-3.9,GM,AM
26,-8.18,GM,AM
25,-17.28,MI,AM
24,-37.36,G,AM
24,-19.40,S,AM
24,-7.82,T,AM
22,-57.42,G,AM
22,-84.11,F,AM
21,-34.37,F,AM
21,-42.69,O,AM
21,-158.15,F,AM
21,-39,GY,AM
18,-7,MI,AM
17,-118.55,U,AM
17,-7.46,GM,AM
15,-83.22,F,AM
14,-8.95,GM,AM
14,-36.23,GM,AM
14,-50,G,AM
14,-18,GY,AM
14,-41.24,O,AM
13,-48.91,GM,AM
12,-30.94,GM,AM
10,-3.08,MI,AM
10,-113.60,MI,AM
10,-11.02,F,AM
10,-34.80,GM,AM
10,-64.50,GM,AM
10,-57.43,O,AM
9,-38.72,F,AM
9,-194.13,F,AM
8,-12.50,O,AM
8,-11.94,F,AM
7,-17.16,MI,AM
6,-70,GM,AM
6,-111.35,GM,AM
6,-211.87,CR,AM
6,-24,MI,AM
5,-11.20,T,AM
5,-30,T,AM
4,-16.01,F,AM
4,-6.55,S,AM
4,-19.80,T,AM
4,-60.96,F,AM
3,-56.71,F,AM
1,-5.98,T,AM
1,-85.78,T,AM
