Days,Values,Flags,Account
29,-19.18,FN,VM
15,20,F,VM
15,-95,GM,VM
15,-9,GM,VM
15,-19,GM,VM
15,-35,GM,VM
15,-95,GM,VM
31,0.03,I,NF
31,-449.93,LP,NF
28,2570.99,N,NF
12,2571.0,N,NF
31,0.18,I,C1S
31,-50.94,IN,C1S
27,481.50,CMC,C1S
25,-56.85,U,C1S
25,1.58,GM,C1S
23,-134.14,F,C1S
20,46.04,GM,C1S
18,-156.75,M,C1S
12,90.10,M,C1S
12,2964,M,C1S
11,-250,RT,C1S
09,-21.23,G,C1S
08,-2,CR,C1S
07,405,CMC,C1S
06,-62.08,CR,C1S
05,-1150,M,C1S
05,-1117.98,M,C1S
04,-4.70,F,C1S
03,-2200,R,C1S
31,-67.24,F,C1C
31,-14.73,GM,C1C
31,-22.46,F,C1C
31,-11.58,F,C1C
26,-3.10,S,C1C
26,-33.91,T,C1C
25,-15.49,S,C1C
21,-37.56,T,C1C
20,-20.00,MI,C1C
12,-5.00,S,C1C
10,-6.26,O,C1C
08,-15,GM,C1C
04,-9.99,S,C1C
03,-84.62,F,C1C
03,-14.18,S,C1C
31,-115.0,GY,AM
31,-5.0,S,AM
29,-75.12,GI,AM
29,-6.83,F,AM
29,-259.18,GI,AM
27,-5.00,S,AM
27,-11.11,F,AM
26,-6.83,F,AM
25,20,S,AM
25,-29.57,F,AM
25,-8.43,F,AM
25,-16.51,F,AM
24,-30.19,S,AM
24,250.37,GI,AM
24,-3.20,F,AM
24,-19.56,F,AM
23,-288.73,T,AM
23,-60.00,O,AM
23,-20.67,G,AM
23,-165.75,SP,AM
23,-14.22,F,AM
22,-105.58,GI,AM
22,21.76,SP,AM
21,-70.78,SP,AM
21,-4.49,F,AM
21,-250.37,GI,AM
21,-400.17,GI,AM
21,-46.96,F,AM
20,-21.76,SP,AM
20,-29,I,AM
20,-28.77,F,AM
20,-4.86,F,AM
19,-10.68,GI,AM
19,-10.97,GI,AM
19,-29.61,F,AM
19,-11.96,F,AM
19,-5.94,MI,AM
19,-5.83,O,AM
18,-51.39,O,AM
18,-2.88,F,AM
17,-674.60,T,AM
17,-9.95,F,AM
17,-3.48,F,AM
17,-1260.73,CR,AM
17,-7.48,O,AM
16,-4,F,AM
16,-19.32,F,AM
15,-41.43,F,AM
14,-49.52,T,AM
14,-14.15,F,AM
14,-2.88,F,AM
13,-54.77,GM,AM
13,-20.12,F,AM
13,-13.13,F,AM
12,-29.73,GM,AM
11,-40.75,F,AM
11,-6.83,F,AM
11,-3.20,F,AM
11,-15.36,F,AM
10,-18.56,F,AM
09,-9.90,F,AM
09,-53.03,G,AM
09,-53.12,GM,AM
09,-8.03,F,AM
09,-20.30,F,AM
08,-25,T,AM
08,-16.05,F,AM
08,-4.70,F,AM
08,-42.50,GM,AM
07,-10.40,F,AM
07,-185.14,GM,AM
07,-144.87,SP,AM
06,-19.04,F,AM
05,-5.23,F,AM
04,-6.55,S,AM
04,109.98,GM,AM
04,-42.12,F,AM
04,-3.99,F,AM
04,-38.71,G,AM
04,-10.37,F,AM
02,-25,F,AM
01,-57.34,O,AM
