Days,Values,Flags,Account
18,12,GM,VM
11,-6,M,VM
11,168,OW,VM
7,168,OW,VM
5,250,OW,VM
4,328,OW,VM
4,60,OW,VM
4,250,OW,VM
31,0.03,I,NF
29,-449.93,LP,NF
28,2678.09,N,NF
13,2494.50,N,NF
01,-449.93,LP,NF
30,6.12,IN,C1S
30,0.26,IN,C1S
30,4.34,GM,C1S
29,-50.94,I,C1S
23,-100,M,C1S
23,-100,M,C1S
23,-62.12,U,C1S
20,0.42,GM,C1S
13,2964,M,C1S
12,-250,RT,C1S
07,135,CMC,C1S
06,-68.10,CR,C1S
02,-2200,R,C1S
29,13.40,I,C1C
29,-6.83,F,C1C
28,-9.20,F,C1C
26,-16.96,F,C1C
26,-3.10,S,C1C
26,-8.49,F,C1C
24,-18.48,F,C1C
23,-0.50,T,C1C
23,-4.00,T,C1C
22,-9.81,F,C1C
22,-6.31,F,C1C
19,-177.43,GM,C1C
14,-5.00,S,C1C
14,-54.50,MI,C1C
13,-168.95,SP,C1C
12,-4.15,T,C1C
10,-15.49,S,C1C
08,-5.00,S,C1C
02,-12.00,S,C1C
30,-115,GY,AM
30,-4.70,F,AM
30,-10.45,F,AM
30,-9.09,F,AM
30,-85.09,F,AM
28,20.00,S,AM
28,-1.81,F,AM
28,-6.83,F,AM
27,-5.00,S,AM
27,-6.83,F,AM
27,-300.00,GM,AM
26,-10.49,F,AM
26,-109.98,GM,AM
26,-24.71,F,AM
24,-50.71,F,AM
24,-79.69,GI,AM
24,-30.19,S,AM
23,-4.70,F,AM
23,-55.00,GM,AM
22,-18.20,F,AM
21,-50.99,MI,AM
21,-2.13,F,AM
21,-11.80,F,AM
20,-85.00,GI,AM
18,-4.12,F,AM
17,-8.02,F,AM
17,-32.99,F,AM
16,-4.86,F,AM
16,-1.99,F,AM
16,-26.23,G,AM
16,-1.81,F,AM
16,-6.83,F,AM
16,-8.00,F,AM
15,-54.67,F,AM
15,-3.72,F,AM
15,-4.70,F,AM
15,-40.00,GM,AM
15,-83.62,F,AM
14,-148.12,F,AM
13,-9.07,F,AM
13,-3.21,F,AM
13,-20.91,F,AM
12,-375.00,GM,AM
10,-48.19,G,AM
10,-128.45,GI,AM
10,-3.47,F,AM
10,-6.61,F,AM
10,-18.04,F,AM
10,-58.41,GM,AM
10,-3.96,F,AM
09,-2.99,S,AM
09,-93.46,SP,AM
09,-28.09,F,AM
09,-1.81,F,AM
09,-53.11,SP,AM
08,-102.19,GI,AM
08,-58.00,SP,AM
08,-4.96,F,AM
07,-6.88,F,AM
07,-2.88,F,AM
06,-4.04,F,AM
06,-4.96,F,AM
06,-55.76,G,AM
05,-25.00,T,AM
04,-6.55,S,AM
03,-16.58,F,AM
02,-20.41,F,AM
02,-14.42,F,AM
02,-29.41,G,AM
02,20.00,SP,AM
02,-11.48,F,AM
01,-6.88,F,AM
