Days,Values,Flags,Account
28,-20,F,VM
28,1100,M,VM
27,50,O,VM
20,-100,F,VM
31,0.07,I,NF
10,-449.93,LP,NF
29,2158.19,N,NF
13,2158.20,N,NF
31,0.30,I,C1S
31,165,O,C1S
29,50.94,IN,C1S
28,-160,CA,C1S
28,-731,O,C1S
28,-250,RT,C1S
24,-45.15,U,C1S
23,1.38,GM,C1S
22,7.18,GM,C1S
20,400,GM,C1S
20,10.38,GM,C1S
20,13.78,GM,C1S
17,-67.98,CR,C1S
16,1.21,GM,C1S
14,-9.91,U,C1S
14,25.44,GM,C1S
14,8.77,GM,C1S
13,-2200,R,C1S
13,-11.73,GM,C1S
7,-68.14,U,C1S
2,1.84,GM,C1S
1,-30.94,IN,C1S
31,-217.48,GM,C1C
30,-5.82,GM,C1C
29,-2.26,F,C1C
22,-19.13,GM,C1C
16,4.30,I,C1C
13,-19.13,O,C1C
13,-5,S,C1C
10,-15.49,S,C1C
8,-5,S,C1C
7,-0.63,I,C1C
3,-39.99,F,C1C
31,-11.11,F,AM
31,-12,F,AM
31,-11.22,F,AM
30,-3.20,F,AM
29,-66.72,F,AM
29,-249.48,GM,AM
29,-47.50,GM,AM
27,-40,T,AM
27,-5,S,AM
26,-114.13,GI,AM
26,-292.19,O,AM
25,-2202.73,W,AM
25,-43.46,F,AM
25,-201.82,GI,AM
24,-155.49,T,AM
24,-6.95,F,AM
24,-13.20,F,AM
24,-30.19,S,AM
24,-56,O,AM
24,-57.63,F,AM
23,-55.47,G,AM
23,-4.88,F,AM
23,-56.02,F,AM
22,-3,O,AM
21,-218.92,GM,AM
21,-1,GM,AM
21,-3.58,GM,AM
21,-4.88,GM,AM
21,-7.52,GM,AM
20,-26.03,F,AM
20,-3.23,F,AM
20,-6.04,F,AM
20,-4.02,F,AM
20,-64.70,F,AM
19,-51.29,G,AM
19,-16.37,S,AM
19,-51.84,F,AM
18,-22.63,F,AM
18,-58.29,O,AM
17,-3.35,F,AM
17,-60.40,G,AM
17,-563.62,GM,AM
17,-7.17,F,AM
16,-19.04,F,AM
16,-6.94,F,AM
16,-73.42,F,AM
15,-43.64,G,AM
15,-58,T,AM
14,-4,F,AM
13,-44.61,G,AM
13,-4.15,GM,AM
13,-4.44,GM,AM
13,-8.56,GM,AM
13,-43.89,O,AM
13,-11,F,AM
13,-39.45,F,AM
13,-705.74,OW,AM
10,-15.15,F,AM
10,-7.50,F,AM
9,-16.42,F,AM
9,-115.02,F,AM
8,-12.93,F,AM
7,-7.36,F,AM
7,-14.42,F,AM
7,-12.76,F,AM
6,-15.24,F,AM
6,-1.58,GM,AM
6,-10,GM,AM
6,-34.28,GM,AM
6,-15.07,F,AM
6,-21.16,F,AM
6,-5.23,F,AM
5,-16.34,T,AM
5,-30.07,F,AM
4,-6.55,S,AM
4,-41.27,F,AM
3,-3.09,F,AM
3,-52.48,G,AM
3,-54.45,O,AM
2,-100,GM,AM
2,-56.69,F,AM
1,-20.30,F,AM
1,-14.98,F,AM
