Days,Values,Flags,Account
28,1000,M,VM
25,-500,OW,VM
20,318,SP,VM
9,850,M,VM
31,0.05,I,NF
30,2494.49,N,NF
16,-449.93,LP,NF
11,5027.94,N,NF
30,500,OW,C1S
30,-50.94,IN,C1S
26,-4.34,GM,C1S
25,-57.68,U,C1S
22,-2207,OW,C1S
11,-250,RT,C1S
11,-5.33,GM,C1S
08,-68.14,CR,C1S
08,49.02,GM,C1S
05,135,CMC,C1S
02,-2200,R,C1S
02,1.41,GM,C1S
01,600,O,C1S
01,-25.94,IN,C1S
31,-67.96,GM,C1C
30,-20.16,F,C1C
29,-17.02,G,C1C
29,-27.09,F,C1C
29,-44.31,G,C1C
29,-96.16,F,C1C
27,-46.31,F,C1C
26,-531.24,GM,C1C
26,-3.10,S,C1C
24,-38.04,W,C1C
22,-23.99,T,C1C
18,-23.50,O,C1C
17,-5,S,C1C
13,-1,O,C1C
10,-15.49,S,C1C
08,-5,S,C1C
02,-16.36,GM,C1C
29,-94.56,O,AM
29,-54.95,SP,AM
29,-107.72,O,AM
29,-110.87,F,AM
27,-5,S,AM
27,-276.44,T,AM
26,-33,G,AM
26,-94.50,F,AM
25,20,S,AM
24,-6.67,F,AM
24,-30.19,S,AM
24,-120.50,OW,AM
24,-7.55,F,AM
24,-3,T,AM
23,-89.25,GI,AM
23,-6.88,F,AM
23,-4.12,F,AM
21,-22.84,F,AM
21,-17.56,T,AM
20,-1.81,F,AM
20,-4.96,F,AM
20,-3,F,AM
20,-24,GI,AM
19,-4.96,F,AM
19,-71,GI,AM
19,-19.03,F,AM
18,-13.46,F,AM
18,-31,F,AM
17,-25,T,AM
17,-4.96,F,AM
17,-4.92,T,AM
17,-12.21,O,AM
17,-6.15,F,AM
16,-15.41,F,AM
16,-9.50,GI,AM
15,-200,W,AM
15,-174.36,GY,AM
15,-3.78,F,AM
15,-757.49,GI,AM
15,-2169.38,OW,AM
15,-143.01,GI,AM
15,-51.45,G,AM
15,-47.45,GM,AM
14,-31.88,GI,AM
13,-4.96,F,AM
13,-34,GI,AM
13,-17.96,F,AM
13,-46.24,F,AM
13,-159.38,GI,AM
13,-22.73,O,AM
13,-40,O,AM
13,-28.48,F,AM
12,-6.88,F,AM
12,-4.30,F,AM
12,-18,GM,AM
11,-4.96,F,AM
10,-59.34,G,AM
10,-6.67,F,AM
10,-98.96,F,AM
09,-4.96,F,AM
09,-22.08,T,AM
09,-96.62,F,AM
08,-96.92,T,AM
07,-4.27,F,AM
07,-3.36,F,AM
07,-30,GM,AM
07,-31.99,F,AM
06,-3.10,GM,AM
06,-3.77,F,AM
06,-10.60,F,AM
06,-250,GM,AM
06,-31.99,F,AM
05,-4.99,F,AM
05,-4.83,T,AM
05,-19.26,T,AM
05,-125,GM,AM
05,-7.09,F,AM
05,-10.10,T,AM
04,-6.55,S,AM
04,-125,GM,AM
03,-13.84,F,AM
02,-4.96,F,AM
01,-27.35,F,AM
01,-2.88,F,AM
