Days,Values,Flags,Account
06,-70,PH,VM
22,-30.60,O,VM
22,-15,F,VM
22,-17,F,VM
29,-105.58,U,VM
31,0.03,I,NF
31,-786,R,NF
31,2518.74,N,NF
20,-449.93,LP,NF
13,2518.75,N,NF
31,2.28,I,C1S
31,0.12,I,C1S
30,-53.93,M,C1S
29,5.15,GM,C1S
28,-143.82,M,C1S
28,57.10,GM,C1S
27,-1025,M,C1S
22,-42,M,C1S
22,-19,M,C1S
14,-76,M,C1S
13,3051.98,M,C1S
07,-62.08,CR,C1S
07,-1.30,M,C1S
06,-50.97,GM,C1S
03,-490.50,M,C1S
03,-70,M,C1S
03,-881.19,R,C1S
01,-100,CA,C1C
01,49.50,CMC,C1C
01,49.50,CMC,C1C
01,-79.84,M,C1S
01,-40.26,M,C1S
30,-64.48,PT,C1C
30,-94.88,PT,C1C
29,-2.99,S,C1C
27,-53.12,GM,C1C
27,-21.24,GM,C1C
27,-53.12,GM,C1C
27,-106.24,GM,C1C
27,-3.10,S,C1C
25,-15.49,S,C1C
24,-18.97,F,C1C
24,-63.78,F,C1C
22,-20.08,F,C1C
22,-25,MI,C1C
21,-12.56,MI,C1C
21,-6.22,GM,C1C
20,-11.44,I,C1C
20,-64.31,F,C1C
20,-35.46,GM,C1C
20,-10.57,F,C1C
20,-62.08,F,C1C
16,-33,O,C1C
15,-5,S,C1C
15,-132.25,GI,C1C
15,-24.18,TE,C1C
14,-27,T,C1C
14,-101.06,T,C1C,
13,-14.97,G,C1C
13,-10.31,F,C1C
11,-6.20,F,C1C
11,-23.44,F,C1C
11,-3.94,O,C1C
08,-11.24,G,C1C
08,-60.46,F,C1C
07,-64.31,F,C1C
07,-4.23,F,C1C
07,-18.19,F,C1C
07,-3,T,C1C
06,6.76,I,C1C
06,-8.28,GM,C1C
06,-4.86,F,C1C
06,-31.91,F,C1C
06,-52.12,F,C1C
06,-29.99,F,C1C
06,-27.19,SP,C1C
02,-155,GM,C1C
02,-14.18,S,C1C
02,-46.10,G,C1C
02,-45,GY,C1C
01,-44.85,F,C1C
30,-2.57,GM,AM
30,-6.72,GM,AM
30,-9.29,GM,AM
30,-39.46,TE,AM
29,-557.28,SP,AM
29,-222.50,GM,AM
29,-14.19,F,AM
29,-13.09,S,AM
28,-90.65,GI,AM
27,-5,S,AM
24,-12,T,AM
24,-15,T,AM
24,-343.9,T,AM
24,-343.9,T,AM
24,-226.74,T,AM
24,-282.30,T,AM
23,-17,T,AM
23,-23,T,AM
21,-158.20,T,AM
21,-158.20,T,AM
17,-7.10,F,AM
17,-41.11,G,AM
11,17.20,GI,AM
10,-245.55,SP,AM
10,-4.73,SP,AM
10,-59.36,GI,AM
10,-43,GM,AM
10,-8.49,F,AM
10,-3.38,T,AM
09,-169,GI,AM
08,-127.69,F,AM
08,-18.65,T,AM
07,-5,S,AM
06,-181.60,GI,AM
06,-25,GI,AM
05,-25,GM,AM
04,-6.55,S,AM
02,-3.37,F,AM
02,-12.50,F,AM
01,-3.64,CR,AM
01,-2,CR,AM
01,-2,CR,AM
01,-13.23,F,AM
