Days,Values,Flags,Account
05,21,F,VM
12,-42,MI,VM
12,-40,MI,VM
12,-106,F,VM
13,-75,U,VM
14,-23,F,VM
15,-50,PH,VM
19,-40,PH,VM
28,16.70,F,VM
28,28.15,F,VM
31,-124.20,U,VM
31,0.02,I,NF
31,-786,R,NF
30,2507.49,N,NF
16,-449.93,LP,NF
11,2507.50,N,NF
31,0.21,I,C1S
26,-1025,M,C1S
25,15.32,GM,C1S
16,371.52,GM,C1S
12,-73.92,M,C1S
11,3051.98,M,C1S
06,-73,M,C1S
06,-62.08,CR,C1S
04,-2735.75,M,C1S
04,-350,M,C1S
02,2201.39,R,C1S
30,-39.05,F,C1C
30,-6.59,F,C1C
30,-2.99,S,C1C
28,-5,F,C1C
28,-67.14,F,C1C
28,-9.72,F,C1C
28,-0.17,MI,C1C
27,-61.81,GM,C1C
27,-3.37,F,C1C
27,-4.82,F,C1C
26,-21.50,GN,C1C
26,-18.28,F,C1C
26,-3.10,S,C1C
26,-6.22,GM,C1C
25,9.68,I,C1C
25,-14.98,F,C1C
25,-80.54,F,C1C
25,-15.49,S,C1C
24,-1.03,O,C1C,
24,-8.91,F,C1C
23,-135.15,F,C1C
21,-21.48,O,C1C
22,-20.64,F,C1C
22,-20.33,O,C1C
20,-29.63,F,C1C
20,-5.28,F,C1C
19,-72,GY,C1C
17,-93.61,GM,C1C
17,-46.12,MI,C1C
16,-221.94,F,C1C
16,-21.38,F,C1C
14,-43.21,MI,C1C
14,-45.40,F,C1C
14,-9.72,F,C1C
14,-4.28,F,C1C
13,-12.67,F,C1C
13,-6.50,F,C1C
13,-3.28,F,C1C
12,-5,S,C1C
12,-23.11,MI,C1C
12,-7.50,F,C1C
12,-15,MI,C1C
11,-3.78,F,C1C
09,11.82,I,C1C
09,-82.15,MI,C1C
09,-2.38,MI,C1C
09,-5.97,MI,C1C
09,-5.67,MI,C1C
09,-5.15,F,C1C
07,-35.61,F,C1C
05,-96.65,F,C1C
05,-171.95,GM,C1C
05,-20.83,F,C1C
04,-15.52,F,C1C
04,-4.05,F,C1C
03,-10.74,O,C1C
03,-49.99,GM,C1C
02,-14.18,S,C1C
02,-45.67,O,C1C
02,-6,GM,C1C
31,-6.68,F,AM
31,-8.03,F,AM
30,-84.75,GI,AM
30,-13.09,M,AM
27,-114.93,SP,AM
27,-5,S,AM
25,-6.88,GM,AM
23,-9.33,F,AM
23,-14.21,F,AM
23,-8.99,MI,AM
22,-5.69,T,AM
22,-56.98,ME,AM
22,-54.01,G,AM
22,-8.95,F,AM
21,-150,T,AM
21,-153.90,T,AM
20,-51.02,G,AM
18,-102.19,GI,AM
18,-16.02,F,AM
16,-18.92,GM,AM
16,-9,MI,AM
15,-4.99,GM,AM
13,-5.60,T,AM
13,-85.18,T,AM
12,-268.74,GM,AM
11,-16.32,S,AM
07,-5,S,AM
07,-10.54,MI,AM
06,-49.72,G,AM
04,-6.55,S,AM
03,-10.97,F,AM
