Date,Description,Amount
02/22/2024,ONLINE PAYMENT - THANK YOU,-56.98
02/22/2024,UBER,5.04
02/21/2024,CLEAR               NEW YORK,-189.00
02/19/2024,CLEAR  *CLEARME.COM CLEARME.COM         NY,189.00
02/19/2024,FULLSCRIPT* R5427519MANCHESTER          NH,56.98
02/19/2024,MOBILE PAYMENT - THANK YOU,-2044.01
02/13/2024,AMAZON MARKEPLACE NA PA,6.44
02/13/2024,AMAZON MARKEPLACE NA PA,6.44
02/12/2024,NEW YORK TIMES DIGITNEW YORK,-4.00
02/12/2024,NYTimes.COM NY TIMES(800)698-4637       NY,4.00
02/11/2024,Audible             audible.com         NJ,16.32
02/07/2024,MPR - APM           800-228-7123        MN,5.00
02/04/2024,BT*OURARING INC.    SAN FRANCISCO       CA,6.55
02/02/2024,ACADEMY SPORTS      PENSACOLA           FL,21.49
02/02/2024,ALLA PRIMA COFFEE ROPensacola           FL,6.72
02/02/2024,FSP*FLEET FEET PENSAPENSACOLA           FL,4.52
02/02/2024,SP TRINITY GAMES LLCPENSACOLA           FL,30.00
02/01/2024,NEXCOM 6500000117879HUNT VALLEY         MD,2.25
02/01/2024,OLGYS FOOD TRUCK    Pensacola           FL,14.28
01/31/2024,RUNSIGNUP*SIGNUP *20MOORESTOWN          NJ,84.50
01/31/2024,TST* FOSKO COFFEE BAPENSACOLA           FL,15.05
01/30/2024,KINDLE UNLTD*R04VT8K888-802-3080        WA,13.09
01/30/2024,OLGYS FOOD TRUCK    Pensacola           FL,10.99
01/29/2024,NAVY EXCHANGE 060074PENSACOLA           FL,16.00
01/28/2024,JET PORT CAFE       PENSACOLA           FL,7.00
01/27/2024,CAMBRIDGEF* CAMBRIDGCAMBRIDGE           MA,102.19
01/27/2024,FRIENDS OF ARIZONA PTEMPE               AZ,5.00
01/26/2024,NEW HONG KONG HOUSE PENSACOLA           FL,16.66
01/26/2024,SP TRINITY GAMES LLCPENSACOLA           FL,55.00
01/25/2024,CARD KINGDOM        (206)523-2273       WA,1.74
